Date_MSI_L01d,Open_MSI_L01d,High_MSI_L01d,Low_MSI_L01d,Close_MSI_L01d,Adj Close_MSI_L01d,Volume_MSI_L01d,Daily_Return_MSI_L01d,Vol5_MSI_L01d,Vol10_MSI_L01d,Vol20_MSI_L01d,Vol60_MSI_L01d,SMA5_MSI_L01d,SMA10_MSI_L01d,SMA30_MSI_L01d,SMA60_MSI_L01d,SMA100_MSI_L01d,EMA5_MSI_L01d,EMA10_MSI_L01d,EMA30_MSI_L01d,EMA60_MSI_L01d,EMA100_MSI_L01d,Short12_MSI_L01d,Long26_MSI_L01d,MACD_MSI_L01d,SIGNAL9_MSI_L01d,Ret5/10_MSI_L01d,Ret10/30_MSI_L01d,Ret30/60_MSI_L01d,Ret30/100_MSI_L01d,Emaret5/10_MSI_L01d,Emaret10/30_MSI_L01d,Emaret30/60_MSI_L01d,Emaret30/100_MSI_L01d,RetMACD_MSI_L01d,DayRange_MSI_L01d,average20r_MSI_L01d,PRVHI_MSI_L01d,HitLevel_MSI_L01d,hitlevel_2_MSI_L01d,hitlevel_1.8_MSI_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-02,312.3599853515625,314.4800109863281,310.5400085449219,311.6400146484375,311.6400146484375,800200.0,-0.4631197759152569,0.3979734550743338,0.7186216658128977,1.0381102700281761,1.3383770666232482,311.24400634765624,311.3940032958984,318.1843332926432,304.79783426920574,294.7462008666992,311.6636452077189,312.61823785453674,313.03789207480565,306.8787421735626,300.4762617075716,313.10180210033474,313.6213099946922,-0.5195078943574458,0.8524217680949338,-0.11551319941009537,-0.11551319941009537,0.11551319941009537,0.11551319941009537,-0.11551319941009537,-0.11551319941009537,-0.11551319941009537,0.11551319941009537,-0.11551319941009537,3.709991455078125,3.928999328613281,314.4800109863281,305.257216796875,306.0420166015625,306.82681640625,1.0,0.9995183049556043,0.9969464588714686,0.6922402046878825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2024-01-03,312.9599914550781,314.239990234375,310.5299987792969,312.0,312.0,720200.0,0.11551319941009537,0.3962558976392811,0.5298187679840591,1.037995100944627,1.3339199486521844,311.6440063476563,311.09800415039064,317.9759999593099,305.3955006917318,295.04630096435545,311.77576347181264,312.5058309718937,312.97093129578593,307.0466522662327,300.70445454504545,312.9322940848986,313.5012129580483,-0.5689188731496984,0.5681536398460073,-0.08012820512820512,0.08012820512820512,-0.08012820512820512,-0.08012820512820512,0.08012820512820512,0.08012820512820512,0.08012820512820512,-0.08012820512820512,0.08012820512820512,2.58001708984375,3.8910003662109376,314.239990234375,305.8362124633789,306.62201232910155,307.4078121948242,0.0,1.0017550810033538,0.9976638275906387,0.5104251142436971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11551319941009537,1
2024-01-04,313.0899963378906,314.2900085449219,311.7099914550781,311.75,311.75,739200.0,-0.08012820512820512,0.40700458505327025,0.4950750988097926,1.0327871056250493,1.254049203301421,311.9100036621094,310.9760040283203,317.7200002034505,305.8195007324219,295.3042010498047,311.7671756478751,312.3684071588221,312.8921615347675,307.2008603886513,300.9231782174208,312.7504026872219,313.37149347967437,-0.6210907924524918,0.3303047533863075,-0.8307927306786287,0.8307927306786287,-0.8307927306786287,-0.8307927306786287,0.8307927306786287,0.8307927306786287,0.8307927306786287,-0.8307927306786287,0.8307927306786287,4.880004882812386,3.9570007324218692,314.2900085449219,305.67978942871093,306.45798950195314,307.23618957519534,0.0,1.0030034459948365,0.998075248657777,0.4793583267193969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08012820512820512,1
2024-01-05,311.7099914550781,312.1900024414062,307.3099975585938,309.1600036621094,309.1600036621094,492800.0,-0.8307927306786287,0.5638980445027715,0.42184997789024914,1.0378847243420666,1.258170730898265,311.5280029296875,310.9530029296875,317.35900065104164,306.2213343302409,295.54540100097654,310.89811831928654,311.7850610685107,312.6513771558864,307.2650945943384,301.08628367177107,312.1980336064354,313.05953127096586,-0.861497664530475,0.091944269802951,1.1967853686199819,-1.1967853686199819,1.1967853686199819,1.1967853686199819,-1.1967853686199819,-1.1967853686199819,-1.1967853686199819,1.1967853686199819,-1.1967853686199819,4.410003662109375,4.019000244140619,312.1900024414062,305.58460693359376,306.3760070800781,307.1674072265625,1.0,1.001849154034798,0.99715527502766,0.4064516684718212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8307927306786287,1
2024-01-08,310.3599853515625,313.0199890136719,308.6099853515625,312.8599853515625,312.8599853515625,525400.0,1.1967853686199819,0.767462233072189,0.5614173541702157,1.0799317971645894,1.2618296337048658,311.48200073242185,311.1840026855469,317.1370005289713,306.642333984375,295.861100769043,311.5520739967119,311.98050184724735,312.6648357491558,307.4485336355589,301.3194262792917,312.29987233645494,313.0447500917508,-0.7448777552958745,-0.0754201352168141,-0.27167922576688025,0.27167922576688025,-0.27167922576688025,-0.27167922576688025,0.27167922576688025,0.27167922576688025,0.27167922576688025,-0.27167922576688025,0.27167922576688025,3.410003662109432,4.058500671386722,313.0199890136719,303.34820190429684,304.15200195312497,304.9558020019531,0.0,1.0009576264984807,0.9986267479922665,0.5198637132865638,0.0,1.0,0.0,0.010483553,0.010483553,0.160997584,0.160997584,1.1967853686199819,1
2024-01-09,311.7000122070312,312.8500061035156,309.4400024414062,312.010009765625,312.010009765625,629600.0,-0.27167922576688025,0.7437608612269421,0.5643568421847608,1.0731944473618802,1.2629314939915477,311.5559997558594,311.40000305175784,316.84266764322916,307.03783416748047,296.1648007202148,311.70471925301626,311.985866923316,312.6225889115087,307.59809022998724,301.53112100179334,312.2552780947888,312.96810266018593,-0.7128245653971135,-0.202901021252874,0.9711222987919339,-0.9711222987919339,0.9711222987919339,0.9711222987919339,-0.9711222987919339,-0.9711222987919339,-0.9711222987919339,0.9711222987919339,-0.9711222987919339,3.100006103515625,4.072500610351568,312.8500061035156,304.0912875366211,304.9029876708984,305.7146878051758,1.0,1.0005009528020963,0.9990988448512995,0.5258663456301504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27167922576688025,1
2024-01-10,312.4599914550781,315.1199951171875,312.0199890136719,315.0400085449219,315.0400085449219,418700.0,0.9711222987919339,0.8590189540779045,0.6316819414042837,1.0913022943239938,1.2672186986606968,312.16400146484375,311.90400390625,316.6550008138021,307.48600107828776,296.5406008911133,312.81648235031815,312.5411653999716,312.7785514685031,307.8420875517884,301.79862372541965,312.68369816404004,313.1215771701664,-0.43787900612636577,-0.24989661822757236,-0.24124230098115598,0.24124230098115598,-0.24124230098115598,-0.24124230098115598,0.24124230098115598,-0.24124230098115598,0.24124230098115598,-0.24124230098115598,0.24124230098115598,3.29998779296875,4.082501220703131,315.1199951171875,303.89050476074215,304.7050048828125,305.51950500488283,0.0,1.0008335819846412,1.0008808982010233,0.5788331470480216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711222987919339,1
2024-01-11,315.4700012207031,316.0299987792969,312.7300109863281,314.2799987792969,314.2799987792969,624900.0,-0.24124230098115598,0.8748912494112625,0.6446194283286646,1.0680279472432281,1.2497605854089224,312.6700012207031,312.2900024414063,316.5156677246094,307.8353342692057,296.90660095214844,313.30432115997775,312.85731692348526,312.8754190369414,308.053166608428,302.0457796670806,312.92928287407955,313.20738617825015,-0.2781033041705996,-0.2555379554161778,0.645920449020524,-0.645920449020524,0.645920449020524,0.645920449020524,-0.645920449020524,0.645920449020524,-0.645920449020524,0.645920449020524,-0.645920449020524,2.66998291015625,3.986000061035159,316.0299987792969,306.1384924316406,306.9549926757812,307.77149291992185,1.0,1.0012168137831057,1.0014287798696484,0.6035604498857385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24124230098115598,1
2024-01-12,315.2900085449219,316.3399963378906,313.6700134277344,316.3099975585938,316.3099975585938,692300.0,0.645920449020524,0.6829641620945464,0.6653764757532847,1.0808016603528021,1.2396379675896585,314.1,312.8140014648437,316.42466735839844,308.27633412679035,297.2981008911133,314.30621329284975,313.4850770389595,313.0970047480158,308.3238823772859,302.3282394273086,313.44939282554327,313.4372092434608,0.012183582082457178,-0.20199364791645083,-0.20865722462255454,0.20865722462255454,-0.20865722462255454,-0.20865722462255454,0.20865722462255454,-0.20865722462255454,-0.20865722462255454,-0.20865722462255454,-0.20865722462255454,3.07000732421875,3.5710006713867215,316.3399963378906,307.2607986450195,308.05799865722656,308.8551986694336,0.0,1.0041110644956244,1.002619379083835,0.6156323589807294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645920449020524,1
2024-01-16,315.6400146484375,317.1499938964844,314.0799865722656,315.6499938964844,315.6499938964844,499900.0,-0.20865722462255454,0.5864012872539245,0.6517568867651191,0.7670386555433826,1.2370159313061078,314.6580017089844,313.07000122070315,316.1840006510417,308.7335006713867,297.69570068359377,314.75414016072796,313.8786982857822,313.2617137253364,308.5640827549645,302.5920365455101,313.7879468364573,313.6011192177589,0.18682761869843034,-0.1242293945934746,0.4371946489772671,-0.4371946489772671,0.4371946489772671,0.4371946489772671,-0.4371946489772671,0.4371946489772671,0.4371946489772671,0.4371946489772671,0.4371946489772671,2.149993896484375,3.3360015869140596,317.1499938964844,308.48379486083985,309.1979949951172,309.91219512939455,1.0,1.0050723495770575,1.00278910891286,0.8497053988803264,0.0,0.0,1.0,0.010828813,0.010828813,0.717385709,0.717385709,-0.20865722462255454,1
