Date_AMD,Open_AMD,High_AMD,Low_AMD,Close_AMD,Adj Close_AMD,Volume_AMD,Daily Return(%)_AMD,Vol5_AMD,Vol10_AMD,Vol20_AMD,Vol60_AMD,SMA5_AMD,SMA10_AMD,SMA30_AMD,SMA60_AMD,SMA100_AMD,EMA5_AMD,EMA10_AMD,EMA30_AMD,EMA60_AMD,EMA100_AMD,Short12_AMD,Long26_AMD,MACD_AMD,SIGNAL9_AMD,Ret5/10_AMD,Ret10/30_AMD,Ret30/60_AMD,Ret30/100_AMD,Emaret5/10_AMD,Emaret10/30_AMD,Emaret30/60_AMD,Emaret30/100_AMD,RetMACD_AMD,DayRange_AMD,average20r_AMD,PRVHI_AMD,HitLevel_AMD,hitlevel_2_AMD,hitlevel_1.8_AMD
2011-01-03,8.4399995803833,8.550000190734863,8.390000343322754,8.470000267028809,8.470000267028809,21152900,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.3000001907348633,,,2.2,2.0,1.8
2011-01-04,8.5600004196167,8.84000015258789,8.539999961853027,8.770000457763672,8.770000457763672,26875300,3.541914773045224,,,,,,,,,,,,,,,,,,,0.1913859047806469,0.1420875948435647,0.3176929733718353,0.4642409120976214,-0.2783231221737367,-0.05242753218878164,0.4042536674606129,0.3323098819100783,0.1416686987836134,0.2299995422363281,,,,,
2011-01-05,8.739999771118164,8.949999809265137,8.720000267028809,8.90999984741211,8.90999984741211,19457400,1.596344154400842,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2624816749075662,0.2699995040893555,,,,,
2011-01-06,8.920000076293945,8.9399995803833,8.670000076293945,8.6899995803833,8.6899995803833,21198200,-2.469138841710611,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2299995422363281,,,,,
2011-01-07,8.729999542236328,8.859999656677246,8.630000114440918,8.829999923706055,8.829999923706055,14062400,1.611051209240435,,,,,8.73400001525879,,,,,8.73400001525879,,,,,,,,,,,,,,,,,,0.3299999237060547,,,,,
2011-01-10,9.050000190734863,9.25,8.920000076293945,9.1899995803833,9.1899995803833,42654000,4.077006339612176,2.570948493614317,,,,8.877999877929687,,,,,8.885999870300294,,,,,,,,,,,,,,,,,,0.4700002670288086,,,,,
2011-01-11,8.770000457763672,8.800000190734863,8.329999923706055,8.359999656677246,8.359999656677246,82092400,-9.031555621370732,5.144803202882607,,,,8.795999717712402,,,,,8.710666465759278,,,,,,,,,,,,,,,,,,0.1400003433227539,,,,,
2011-01-12,8.40999984741211,8.5,8.359999656677246,8.390000343322754,8.390000343322754,34001000,0.3588599028415731,5.026508578165133,,,,8.691999816894532,,,,,8.603777758280437,,,,,,,,,,,,,,,,,,0.2200002670288086,,,,,
2011-01-13,8.4399995803833,8.460000038146973,8.239999771118164,8.260000228881836,8.260000228881836,31520900,-1.549464947809919,4.980071974186346,,,,8.605999946594238,,,,,8.489185248480904,,,,,,,,,,,,,,,,,,0.2799997329711914,,,,,
2011-01-14,8.319999694824219,8.329999923706055,8.050000190734863,8.199999809265137,8.199999809265137,38179400,-0.7263973117930717,4.790736069747557,,,,8.479999923706055,8.606999969482422,,,,8.392790102075649,8.606999969482422,,,,,,,,1.219505245383315,-1.219505245383315,0.0,0.0,1.219505245383315,1.219505245383315,-1.219505245383315,0.0,0.0,0.1700000762939453,,,,,
