Date_NVDA,Open_NVDA,High_NVDA,Low_NVDA,Close_NVDA,Adj Close_NVDA,Volume_NVDA,Daily Return(%)_NVDA,Vol5_NVDA,Vol10_NVDA,Vol20_NVDA,Vol60_NVDA,SMA5_NVDA,SMA10_NVDA,SMA30_NVDA,SMA60_NVDA,SMA100_NVDA,EMA5_NVDA,EMA10_NVDA,EMA30_NVDA,EMA60_NVDA,EMA100_NVDA,Short12_NVDA,Long26_NVDA,MACD_NVDA,SIGNAL9_NVDA,Ret5/10_NVDA,Ret10/30_NVDA,Ret30/60_NVDA,Ret30/100_NVDA,Emaret5/10_NVDA,Emaret10/30_NVDA,Emaret30/60_NVDA,Emaret30/100_NVDA,RetMACD_NVDA,DayRange_NVDA,average20r_NVDA,PRVHI_NVDA,HitLevel_NVDA,hitlevel_2_NVDA,hitlevel_1.8_NVDA
2011-01-03,3.880000114440918,3.992500066757202,3.875,3.954999923706055,3.634190082550049,81744800,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.125,,,2.2,2.0,1.8
2011-01-04,3.962500095367432,3.980000019073486,3.855000019073486,3.942500114440918,3.622703075408936,65138400,-0.3160508092608039,,,,,,,,,,,,,,,,,,,0.1684096179528242,0.3060827720016914,0.5693089127225733,0.9235649715658558,-0.5151166083526323,0.09900666558986516,0.3190049258750053,0.753680764681992,-0.2645732558162086,0.2750000953674321,,,,,
2011-01-05,4.014999866485596,4.25,3.974999904632568,4.244999885559082,3.900665521621704,142821600,7.672790420731827,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492499828338623,,,,,
2011-01-06,4.355000019073486,4.835000038146973,4.34250020980835,4.832499980926514,4.440510272979736,349331200,13.83981416268179,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,,,,,
2011-01-07,4.777500152587891,4.982500076293945,4.670000076293945,4.96750020980835,4.56456184387207,257998400,2.7935898482084,,,,,4.388500022888183,,,,,4.388500022888183,,,,,,,,,,,,,,,,,,0.3274998664855957,,,,,
2011-01-10,4.877500057220459,5.167500019073486,4.840000152587891,5.15749979019165,4.739148616790771,175034800,3.82485299161429,5.436241678137021,,,,4.628999996185303,,,,,4.644833278656006,,,,,,,,,,,,,,,,,,0.309999942779541,,,,,
2011-01-11,5.227499961853027,5.277500152587891,4.96750020980835,5.077499866485596,4.665637493133545,271108800,-1.551137701608746,5.786914582765439,,,,4.855999946594238,,,,,4.789055474599203,,,,,,,,,,,,,,,,,,0.7800002098083496,,,,,
2011-01-12,5.079999923706055,5.84250020980835,5.0625,5.837500095367432,5.363990783691406,343189600,14.96800096240814,7.261481032034448,,,,5.174499988555908,,,,,5.138537014855279,,,,,,,,,,,,,,,,,,0.3650002479553223,,,,,
2011-01-13,5.775000095367432,5.960000038146973,5.59499979019165,5.847499847412109,5.373180866241455,269519200,0.1713019594228943,6.466232831609223,,,,5.377499961853028,,,,,5.37485795904089,,,,,,,,,,,,,,,,,,0.2824997901916504,,,,,
2011-01-14,5.747499942779541,5.994999885559082,5.712500095367432,5.897500038146973,5.41912317276001,159535200,0.8550695517673514,6.616125444309882,,,,5.563499927520752,4.975999975204468,,,,5.549071985409585,4.975999975204468,,,,,,,,-2.331493147532728,-2.331493147532728,0.0,0.0,2.331493147532728,-2.331493147532728,-2.331493147532728,0.0,0.0,0.2400002479553223,,,,,
