Date_CTSH,Open_CTSH,High_CTSH,Low_CTSH,Close_CTSH,Adj Close_CTSH,Volume_CTSH,Daily Return(%)_CTSH,Vol5_CTSH,Vol10_CTSH,Vol20_CTSH,Vol60_CTSH,SMA5_CTSH,SMA10_CTSH,SMA30_CTSH,SMA60_CTSH,SMA100_CTSH,EMA5_CTSH,EMA10_CTSH,EMA30_CTSH,EMA60_CTSH,EMA100_CTSH,Short12_CTSH,Long26_CTSH,MACD_CTSH,SIGNAL9_CTSH,Ret5/10_CTSH,Ret10/30_CTSH,Ret30/60_CTSH,Ret30/100_CTSH,Emaret5/10_CTSH,Emaret10/30_CTSH,Emaret30/60_CTSH,Emaret30/100_CTSH,RetMACD_CTSH,DayRange_CTSH,average20r_CTSH,PRVHI_CTSH,HitLevel_CTSH,hitlevel_2_CTSH,hitlevel_1.8_CTSH,Hit?_CTSH,Hit?_CTSH.1,Hit?_CTSH.2,HitAt_2.2_CTSH,HitAt_2.0_CTSH,HitAt_1.8_CTSH,ExitPr_2.2_CTSH,ExitPr_2.0_CTSH,ExitPr_1.8_CTSH,ret_2.2_CTSH,Ret2.0_CTSH,Ret_1.8_CTSH
2011-01-03,37.06999969482422,37.93000030517578,37.06000137329102,37.68000030517578,35.76308441162109,5809800,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,1.020000457763686,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,37.81000137329102,37.81000137329102,36.79000091552734,37.08000183105469,35.19361114501953,6062200,-1.5923526254289257,,,,,,,,,,,,,,,,,,,-0.2377666073843987,0.022313793018819507,-0.4510762469933201,-0.04739168186963486,0.350573622106437,-0.21792615000705481,-0.09471686616390163,-0.44685680826022106,0.033723951661712805,1.164997100830064,,,,,,214.0,303.0,419.0,,,,,,,0.3958272413534506,0.3938756247776156,0.2878221981049667
2011-01-05,36.93500137329102,38.09999847412109,36.93500137329102,38.09500122070312,36.1569709777832,4636400,2.7373229221320137,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6300010681152344,,,,,,,,,,,,,,,,,
2011-01-06,38.11999893188477,38.18000030517578,37.54999923706055,37.75500106811523,35.83427047729492,4410200,-0.8925059501064252,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5799980163574219,,,,,,,,,,,,,,,,,
2011-01-07,37.49499893188477,37.7599983215332,37.18000030517578,37.54499816894531,35.63495254516602,4295000,-0.5562253826745776,,,,,37.63100051879883,,,,,37.63100051879883,,,,,,,,,,,,,,,,,,0.5200004577636648,,,,,,,,,,,,,,,,,
2011-01-10,37.54999923706055,37.83000183105469,37.31000137329102,37.66999816894531,35.75359725952148,3674800,0.33293382899507384,1.6766895907685622,,,,37.62900009155273,,,,,37.64399973551433,,,,,,,,,,,,,,,,,,0.30999755859375,,,,,,,,,,,,,,,,,
2011-01-11,37.74499893188477,37.84999847412109,37.54000091552734,37.75500106811523,35.83427047729492,3853800,0.22565145553946464,1.421112360136337,,,,37.763999938964844,,,,,37.68100017971463,,,,,,,,,,,,,,,,,,0.6500015258789134,,,,,,,,,,,,,,,,,
2011-01-12,38.09999847412109,38.15000152587891,37.5,37.61999893188477,35.70614624023438,3950400,-0.3575741819921871,0.5206282748327438,,,,37.66899948120117,,,,,37.66066643043801,,,,,,,,,,,,,,,,,,0.904998779296875,,,,,,,,,,,,,,,,,
2011-01-13,37.38000106811523,37.67499923706055,36.77000045776367,37.29499816894531,35.39767074584961,6447200,-0.8639042322353877,0.511881338512646,,,,37.57699890136719,,,,,37.538777009940446,,,,,,,,,,,,,,,,,,0.3899993896484304,,,,,,,,,,,,,,,,,
2011-01-14,37.25,37.56499862670898,37.17499923706055,37.50500106811523,35.59699630737305,4769600,0.5630859618724404,0.5811684003552959,,,,37.568999481201175,37.6,,,,37.527518362665376,37.6,,,,,,,,-0.6665777706443976,0.6665777706443976,0.0,0.0,-0.6665777706443976,-0.6665777706443976,0.6665777706443976,0.0,0.0,0.5849990844726491,,,,,,,,,,,,,,,,,
