Date_QCOM,Open_QCOM,High_QCOM,Low_QCOM,Close_QCOM,Adj Close_QCOM,Volume_QCOM,Daily Return(%)_QCOM,Vol5_QCOM,Vol10_QCOM,Vol20_QCOM,Vol60_QCOM,SMA5_QCOM,SMA10_QCOM,SMA30_QCOM,SMA60_QCOM,SMA100_QCOM,EMA5_QCOM,EMA10_QCOM,EMA30_QCOM,EMA60_QCOM,EMA100_QCOM,Short12_QCOM,Long26_QCOM,MACD_QCOM,SIGNAL9_QCOM,Ret5/10_QCOM,Ret10/30_QCOM,Ret30/60_QCOM,Ret30/100_QCOM,Emaret5/10_QCOM,Emaret10/30_QCOM,Emaret30/60_QCOM,Emaret30/100_QCOM,RetMACD_QCOM,DayRange_QCOM,average20r_QCOM,PRVHI_QCOM,HitLevel_QCOM,hitlevel_2_QCOM,hitlevel_1.8_QCOM,Hit?_QCOM,Hit?_QCOM.1,Hit?_QCOM.2,HitAt_2.2_QCOM,HitAt_2.0_QCOM,HitAt_1.8_QCOM,ExitPr_2.2_QCOM,ExitPr_2.0_QCOM,ExitPr_1.8_QCOM,ret_2.2_QCOM,Ret2.0_QCOM,Ret_1.8_QCOM
2011-01-03,49.88999938964844,50.79999923706055,49.84999847412109,50.18000030517578,37.67823791503906,15167700,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,1.470001220703132,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,50.40000152587891,51.06000137329102,49.59000015258789,50.97000122070312,38.27142715454102,24330000,1.574334218259964,,,,,,,,,,,,,,,,,,,-0.1577972583258897,0.3468248877951651,0.19691149909923716,-0.6072937032027288,0.002264413393176384,-0.3474182759241039,0.24532050223068325,0.10383511522869962,-0.13089376373656592,1.1500015258789134,,,,,,210.0,310.0,435.0,,,,,,,-0.029763254718592133,0.2501825082433395,0.2769555992984595
2011-01-05,51.54999923706055,52.40000152587891,51.25,52.02999877929688,39.06734466552734,25904400,2.079649859147368,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9899978637695455,,,,,,,,,,,,,,,,,
2011-01-06,52.11000061035156,53.02999877929688,52.04000091552734,52.66999816894531,39.54788970947266,17894300,1.2300584367937577,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,
2011-01-07,52.81000137329102,52.90000152587891,51.40000152587891,51.72999954223633,38.84207534790039,12865500,-1.7846946257598615,,,,,51.51599960327148,,,,,51.51599960327148,,,,,,,,,,,,,,,,,,0.7600021362304759,,,,,,,,,,,,,,,,,
2011-01-10,51.43999862670898,52.20000076293945,51.43999862670898,51.68999862670898,38.81204605102539,17421100,-0.07732634038531365,1.555723862717453,,,,51.817999267578124,,,,,51.573999277750644,,,,,,,,,,,,,,,,,,0.8699989318847585,,,,,,,,,,,,,,,,,
2011-01-11,51.56999969482422,52.43999862670898,51.56999969482422,52.06999969482422,39.09736251831055,10288000,0.7351539528168789,1.4677017481456514,,,,52.03799896240234,,,,,51.73933275010851,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,
2011-01-12,52.25,52.34000015258789,51.59000015258789,52.34000015258789,39.30010223388672,10673200,0.5185336265529306,1.16578064796785,,,,52.099999237060544,,,,,51.939555217601644,,,,,,,,,,,,,,,,,,0.94000244140625,,,,,,,,,,,,,,,,,
2011-01-13,52.27999877929688,52.45000076293945,51.5099983215332,51.86999893188477,38.94720077514648,12550700,-0.8979771099215008,1.043193576690476,,,,51.939999389648435,,,,,51.91636978902936,,,,,,,,,,,,,,,,,,0.700000762939446,,,,,,,,,,,,,,,,,
2011-01-14,51.93000030517578,52.13000106811523,51.43000030517578,52.04000091552734,39.0748405456543,11536900,0.3277462640124767,0.6433524523853437,,,,52.00199966430664,51.75899963378906,,,,51.95758016452869,51.75899963378906,,,,,,,,1.9023786440291104,1.9023786440291104,0.0,0.0,-1.9023786440291104,1.9023786440291104,1.9023786440291104,0.0,0.0,0.7700004577636861,,,,,,,,,,,,,,,,,
2011-01-18,52.36999893188477,53.06000137329102,52.29000091552734,53.02999877929688,39.81820678710938,14715100,1.9023786440291104,1.0006053848905543,1.2340078034482804,,,52.26999969482422,52.04399948120117,,,,52.315053036118094,51.99009038751775,,,,,,,,-1.6782941922222028,-1.6782941922222028,0.0,0.0,1.6782941922222028,-1.6782941922222028,-1.6782941922222028,0.0,0.0,1.2099990844726491,,,,,,,,,,,,,,,,,
