Date_CDNS_L01d,Open_CDNS_L01d,High_CDNS_L01d,Low_CDNS_L01d,Close_CDNS_L01d,Adj Close_CDNS_L01d,Volume_CDNS_L01d,Daily_Return_CDNS_L01d,Vol5_CDNS_L01d,Vol10_CDNS_L01d,Vol20_CDNS_L01d,Vol60_CDNS_L01d,SMA5_CDNS_L01d,SMA10_CDNS_L01d,SMA30_CDNS_L01d,SMA60_CDNS_L01d,SMA100_CDNS_L01d,EMA5_CDNS_L01d,EMA10_CDNS_L01d,EMA30_CDNS_L01d,EMA60_CDNS_L01d,EMA100_CDNS_L01d,Short12_CDNS_L01d,Long26_CDNS_L01d,MACD_CDNS_L01d,SIGNAL9_CDNS_L01d,Ret5/10_CDNS_L01d,Ret10/30_CDNS_L01d,Ret30/60_CDNS_L01d,Ret30/100_CDNS_L01d,Emaret5/10_CDNS_L01d,Emaret10/30_CDNS_L01d,Emaret30/60_CDNS_L01d,Emaret30/100_CDNS_L01d,RetMACD_CDNS_L01d,DayRange_CDNS_L01d,average20r_CDNS_L01d,PRVHI_CDNS_L01d,HitLevel_CDNS_L01d,hitlevel_2_CDNS_L01d,hitlevel_1.8_CDNS_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-03,260.7699890136719,262.0,256.6000061035156,257.2799987792969,257.2799987792969,1326300.0,-2.1376931333822498,1.4516246791539082,1.430213331402777,1.592207334795815,1.4620337214249084,268.08599853515625,271.18999938964845,269.7336659749349,259.56483256022136,249.326199798584,265.73191356057544,268.66665079892255,267.2804503578212,260.5223063138648,252.47937050760237,269.048023492582,268.065344363908,0.9826791286739648,2.947473685532115,0.5286072049146017,-0.5286072049146017,-0.5286072049146017,-0.5286072049146017,0.5286072049146017,0.5286072049146017,-0.5286072049146017,-0.5286072049146017,0.5286072049146017,3.950012207031307,5.256500244140622,262.0,257.45421234130856,258.5220123291015,259.5898123168945,0.0,0.9885541470501191,2.1376931333822498,-1.0,2.1376931333822498,1.0051863143722093,1.0,-2.1376931333822498,1.0149707370788739,1.0,-2.1376931333822498,0.0,1.0,1.0,0.009818153,0.005954394,0.993815184,0.56612625,,1
2024-01-04,257.1099853515625,259.5700073242188,255.6199951171875,255.9199981689453,255.9199981689453,1095200.0,-0.5286072049146017,1.3765166704118867,1.395583330898074,1.5926764641762596,1.4542907415100177,264.3419952392578,269.34900054931643,269.2559992472331,259.7078325907389,249.62469970703123,262.4612750966987,266.3490775934721,266.54751795853895,260.37141096485107,252.54750174842096,267.0283272889456,267.1656890902071,-0.137361801261477,2.330506588173397,1.2542948882638911,-1.2542948882638911,-1.2542948882638911,-1.2542948882638911,1.2542948882638911,1.2542948882638911,1.2542948882638911,-1.2542948882638911,1.2542948882638911,5.480010986328182,5.214500427246096,259.5700073242188,250.43569946289065,251.48699951171875,252.53829956054688,0.0,0.98141071509511,0.5286072049146017,-1.0,0.5286072049146017,0.9992555159898442,-1.0,-0.5286072049146017,0.9863378559602617,-1.0,-0.5286072049146017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5286072049146017,1
2024-01-05,255.0,257.4200134277344,251.9400024414062,252.7100067138672,252.7100067138672,1692500.0,-1.2542948882638911,1.2947561747546112,1.3938837264183987,1.571335695142765,1.4591825112170949,260.2359985351562,267.54100036621094,268.6666656494141,259.75716603597004,249.8727998352051,259.2108523024216,263.869246524453,265.6547752975924,260.1202173828516,252.55071966852884,264.82550873893354,266.0948978030708,-1.2693890641372718,1.6105274577112632,-3.640535279103116,-3.640535279103116,3.640535279103116,3.640535279103116,-3.640535279103116,-3.640535279103116,-3.640535279103116,3.640535279103116,-3.640535279103116,8.410003662109403,5.501501464843751,257.4200134277344,248.0981063842774,249.14100646972665,250.18390655517584,1.0,0.9726957669252354,1.2542948882638911,-1.0,1.2542948882638911,0.9932787627433416,-1.0,1.2542948882638911,0.9288839163661828,-1.0,1.2542948882638911,0.0,1.0,0.0,0.000643301,0.000643301,0.000842854,0.000842854,-1.2542948882638911,1
2024-01-08,254.8999938964844,262.1300048828125,253.7200012207031,261.9100036621094,261.9100036621094,1980700.0,3.640535279103116,2.689876018289034,1.8203091962772455,1.773401470879293,1.523662525307189,258.1440002441406,266.175,268.3853322347005,259.9059995015462,250.23029983520507,260.11056942231755,263.51302054948144,265.41317712756126,260.1788989002044,252.73605202483736,264.3769694963452,265.78490564448106,-1.407936148135832,1.0068347365418442,0.0610910846749466,0.0610910846749466,-0.0610910846749466,-0.0610910846749466,0.0610910846749466,0.0610910846749466,0.0610910846749466,-0.0610910846749466,0.0610910846749466,5.6400146484375,5.582502746582035,262.1300048828125,245.31671020507807,246.4170104980469,247.51731079101563,0.0,0.9698281215145698,-3.640535279103116,-1.0,-3.640535279103116,0.9928407602115151,-1.0,-3.640535279103116,1.477702812132224,1.0,-3.640535279103116,1.0,1.0,1.0,0.90348196,0.3280455976666667,0.989337802,0.4263028653333333,3.640535279103116,1
2024-01-09,259.5,264.3500061035156,258.7099914550781,261.75,261.75,1135800.0,-0.0610910846749466,2.2167750004228166,1.8155337779929424,1.773384870322953,1.522958301852896,257.9140014648437,264.76799926757815,268.0899993896484,260.06516621907554,250.61539978027344,260.65704628154504,263.1924713586666,265.1768431193315,260.23041041167306,252.9145460441475,263.97282034306136,265.4860237448899,-1.513203401828548,0.5028271088677658,-0.5768900728271251,-0.5768900728271251,0.5768900728271251,0.5768900728271251,-0.5768900728271251,-0.5768900728271251,-0.5768900728271251,0.5768900728271251,-0.5768900728271251,5.459991455078125,5.394502258300783,264.3500061035156,249.848498840332,250.96499938964843,252.08149993896484,1.0,0.9741131941107138,0.0610910846749466,-1.0,0.0610910846749466,0.9925167984605203,-1.0,0.0610910846749466,1.221004548245554,1.0,-0.0610910846749466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0610910846749466,1
2024-01-10,262.6000061035156,266.2099914550781,260.75,263.260009765625,263.260009765625,1220000.0,0.5768900728271251,1.8918295762285,1.8476406349498455,1.5969654644425009,1.5202098410287863,259.11000366210936,263.59800109863284,267.8136667887369,260.28199971516926,251.04489990234376,261.5247007762384,263.2047510690226,265.05317645135045,260.3297415380321,253.11940671189956,263.8631571773019,265.32113382049994,-1.4579766431980374,0.1106663584546051,-1.3408792252342316,-1.3408792252342316,1.3408792252342316,1.3408792252342316,-1.3408792252342316,-1.3408792252342316,-1.3408792252342316,1.3408792252342316,-1.3408792252342316,7.239990234375,5.354002380371092,266.2099914550781,252.4821011352539,253.56100158691407,254.6399020385742,1.0,0.9829740839542855,-0.5768900728271251,-1.0,-0.5768900728271251,0.9930262092796798,-1.0,-0.5768900728271251,1.0239164155857905,1.0,0.5768900728271251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5768900728271251,1
2024-01-11,265.239990234375,268.489990234375,261.25,266.7900085449219,266.7900085449219,1535800.0,1.3408792252342316,1.8276195242801856,1.929765665967693,1.5550313332945789,1.5279900757722475,261.2840057373047,262.81300048828126,267.6826670328776,260.5381665547689,251.5072999572754,263.2798033657996,263.85661606464066,265.1652301348067,260.5415535710449,253.39011169869204,264.3134420030896,265.4299393556423,-1.1164973525527555,-0.134766383746867,-0.6409503355858239,-0.6409503355858239,0.6409503355858239,0.6409503355858239,-0.6409503355858239,-0.6409503355858239,-0.6409503355858239,0.6409503355858239,-0.6409503355858239,3.1199951171875,5.177001953125002,268.489990234375,254.43118621826173,255.50198669433595,256.5727871704101,1.0,0.994182195142037,-1.3408792252342316,-1.0,-1.3408792252342316,0.9950649107746866,-1.0,-1.3408792252342316,0.947068111175931,-1.0,1.3408792252342316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3408792252342316,-1
2024-01-12,267.6700134277344,268.7900085449219,265.6700134277344,268.5,268.5,1432000.0,0.6409503355858239,1.43730605547683,1.948287895722297,1.548705552797594,1.5269489202362914,264.44200439453124,262.33900146484376,267.45900065104166,260.8461664835612,251.9422999572754,265.0198689105331,264.7008676892514,265.3803765777224,260.80248624084675,253.68931740762883,264.9575278487681,265.6573512552244,-0.6998234064562894,-0.2477777882887515,3.374300766701604,-3.374300766701604,3.374300766701604,3.374300766701604,-3.374300766701604,3.374300766701604,-3.374300766701604,3.374300766701604,-3.374300766701604,10.75,5.286001586914064,268.7900085449219,257.1005859375,258.135986328125,259.17138671875,1.0,1.008016356385992,-0.6409503355858239,1.0,-0.6409503355858239,0.9974394908273408,-1.0,-0.6409503355858239,0.7377277550369277,-1.0,-0.6409503355858239,0.0,0.0,1.0,0.002270966,0.002270966,0.979317427,0.979317427,-0.6409503355858239,1
2024-01-16,268.6000061035156,278.8599853515625,268.1099853515625,277.5599975585938,277.5599975585938,2605100.0,3.374300766701604,1.3262073360352302,2.2422351049992413,1.6449713909062114,1.569926665059936,267.57200317382814,262.8580017089844,267.6020009358724,261.36283315022786,252.46279998779295,269.19991179322005,267.0388913018591,266.1661585764884,261.3519128414286,254.1620041432915,266.89636934258743,266.5390287591777,0.3573405834097229,-0.1267541139490566,-0.7818067910518037,0.7818067910518037,-0.7818067910518037,-0.7818067910518037,0.7818067910518037,-0.7818067910518037,-0.7818067910518037,-0.7818067910518037,-0.7818067910518037,10.040008544921877,5.639001464843749,278.8599853515625,257.16080505371093,258.21800537109374,259.27520568847655,0.0,1.0179336426290828,-3.374300766701604,1.0,3.374300766701604,1.003278901908636,1.0,-3.374300766701604,0.5914666722853218,-1.0,-3.374300766701604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.374300766701604,1
2024-01-17,277.5599975585938,279.6499938964844,269.6099853515625,275.3900146484375,275.3900146484375,1883200.0,-0.7818067910518037,1.5191859480043324,1.882807487766198,1.6551676956168275,1.571617167481059,270.3000061035156,264.1070037841797,267.77000122070314,261.8683334350586,252.8809001159668,271.2632794116259,268.55727736487336,266.7612460650012,261.81217847444526,254.58236078695776,268.2030840050259,267.1946573435673,1.0084266614586,0.1002820411324747,1.3144975941879304,-1.3144975941879304,1.3144975941879304,1.3144975941879304,-1.3144975941879304,1.3144975941879304,1.3144975941879304,1.3144975941879304,1.3144975941879304,4.339996337890625,5.699999999999998,279.6499938964844,266.45418212890627,267.581982421875,268.7097827148437,1.0,1.0234488378975237,-0.7818067910518037,1.0,-0.7818067910518037,1.0067327294588904,1.0,-0.7818067910518037,0.8068726929733673,-1.0,0.7818067910518037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7818067910518037,1
2024-01-18,276.9500122070312,279.6199951171875,275.2799987792969,279.010009765625,279.010009765625,1298500.0,1.3144975941879304,1.4998469101377991,1.6515997480213065,1.6722657915375647,1.5332942889331955,273.45000610351565,266.2800048828125,268.2876678466797,262.5411669413249,253.39060028076173,273.84552286295894,270.45777416501,267.55148888439635,262.3760417954676,255.0660766083175,269.865687968195,268.0698686340901,1.7958193341049196,0.4393894997269637,4.70592610417168,-4.70592610417168,4.70592610417168,4.70592610417168,-4.70592610417168,4.70592610417168,4.70592610417168,4.70592610417168,4.70592610417168,12.540008544921877,6.128500366210939,279.6199951171875,267.10999389648435,268.2499938964844,269.3899938964844,1.0,1.026926547578586,1.3144975941879304,1.0,1.3144975941879304,1.0108625270325795,1.0,1.3144975941879304,0.9081176670889455,-1.0,-1.3144975941879304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3144975941879304,1
2024-01-19,280.0,292.5400085449219,280.0,292.1400146484375,292.1400146484375,2622700.0,4.70592610417168,2.1883084020901635,1.9727732467285608,1.963113211369956,1.6364779902090505,278.52000732421874,269.9020065307617,269.2863352457682,263.41150054931643,253.98690048217773,279.9436867914518,274.39999970745134,269.1378453853022,263.35190975786,255.80021399525057,273.29250745746305,269.8528424129306,3.4396650445324326,1.0394446086880575,1.2288615588011254,1.2288615588011254,1.2288615588011254,1.2288615588011254,-1.2288615588011254,1.2288615588011254,1.2288615588011254,1.2288615588011254,1.2288615588011254,6.350006103515625,6.201000976562502,292.5400085449219,266.1372943115234,267.3629943847656,268.5886944580078,1.0,1.031930110132304,4.70592610417168,1.0,4.70592610417168,1.0195518928771081,1.0,4.70592610417168,1.109254905863623,1.0,-4.70592610417168,0.0,0.0,1.0,0.002786052,0.002786052,0.981788158,0.981788158,4.70592610417168,1
