Date_WDC_L01d,Open_WDC_L01d,High_WDC_L01d,Low_WDC_L01d,Close_WDC_L01d,Adj Close_WDC_L01d,Volume_WDC_L01d,Daily_Return_WDC_L01d,Vol5_WDC_L01d,Vol10_WDC_L01d,Vol20_WDC_L01d,Vol60_WDC_L01d,SMA5_WDC_L01d,SMA10_WDC_L01d,SMA30_WDC_L01d,SMA60_WDC_L01d,SMA100_WDC_L01d,EMA5_WDC_L01d,EMA10_WDC_L01d,EMA30_WDC_L01d,EMA60_WDC_L01d,EMA100_WDC_L01d,Short12_WDC_L01d,Long26_WDC_L01d,MACD_WDC_L01d,SIGNAL9_WDC_L01d,Ret5/10_WDC_L01d,Ret10/30_WDC_L01d,Ret30/60_WDC_L01d,Ret30/100_WDC_L01d,Emaret5/10_WDC_L01d,Emaret10/30_WDC_L01d,Emaret30/60_WDC_L01d,Emaret30/100_WDC_L01d,RetMACD_WDC_L01d,DayRange_WDC_L01d,average20r_WDC_L01d,PRVHI_WDC_L01d,HitLevel_WDC_L01d,hitlevel_2_WDC_L01d,hitlevel_1.8_WDC_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-03,50.09000015258789,50.90999984741211,50.0,50.34000015258789,50.34000015258789,5918000.0,-1.022415358874054,1.3732266930344954,2.538701737066829,1.9900004313952928,2.4044332592568973,51.783999633789065,51.70699958801269,49.338666661580405,46.505499903361006,45.235899963378905,51.35458275318767,51.3374958249218,49.50956857420682,47.49725862710765,45.73648163743368,51.19430306918672,49.86539319054496,1.3289098786417668,1.5217118827443796,-0.6356767855666526,-0.6356767855666526,-0.6356767855666526,-0.6356767855666526,0.6356767855666526,-0.6356767855666526,-0.6356767855666526,-0.6356767855666526,0.6356767855666526,0.8500022888183594,1.0415002822875976,50.90999984741211,49.6389005279541,49.84900054931641,50.05910057067871,0.0,1.048001559155965,1.022415358874054,1.0,-1.022415358874054,1.0369206863108738,1.0,-1.022415358874054,0.8276380405793892,-1.0,1.022415358874054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2024-01-04,50.29999923706055,50.79000091552734,49.93999862670898,50.02000045776367,50.02000045776367,4641000.0,-0.6356767855666526,1.3736824613467058,2.527221582878885,1.9589469605126468,2.3875286474254,51.30400009155274,51.61499977111816,49.42766672770183,46.58249988555908,45.31729995727539,50.90972198804634,51.09795121271122,49.54249966346856,47.5799714740144,45.821303792291694,51.0136411289678,49.87684558070931,1.1367955482584904,1.444728615847202,-0.0599735686172286,0.0599735686172286,0.0599735686172286,0.0599735686172286,-0.0599735686172286,-0.0599735686172286,0.0599735686172286,0.0599735686172286,-0.0599735686172286,0.6800003051757741,0.9815002441406244,50.79000091552734,48.61869922637939,48.82699928283692,49.03529933929443,1.0,1.0442532125877273,0.6356767855666526,1.0,-0.6356767855666526,1.031396307408962,1.0,-0.6356767855666526,0.820491499704133,-1.0,0.6356767855666526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6356767855666526,1
2024-01-05,49.68999862670898,50.34999847412109,49.66999816894531,50.04999923706055,50.04999923706055,4765900.0,0.0599735686172286,1.0895941615165754,2.3206448267541053,1.9592871692395173,2.38726727570317,50.72799987792969,51.678999710083005,49.554666646321614,46.66083323160807,45.391799964904784,50.623147737717744,50.90741448986565,49.57524157144224,47.66095599083558,45.90504033575246,50.86538853021284,49.88967177747607,0.9757167527367728,1.350926243225116,-0.2797190645005344,0.2797190645005344,0.2797190645005344,0.2797190645005344,-0.2797190645005344,-0.2797190645005344,0.2797190645005344,0.2797190645005344,-0.2797190645005344,0.6100006103515625,0.963000297546386,50.34999847412109,48.63070037841796,48.82700042724609,49.02330047607421,1.0,1.0428684765235743,-0.0599735686172286,1.0,0.0599735686172286,1.0268717383152564,1.0,0.0599735686172286,0.8207238415155709,-1.0,-0.0599735686172286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0599735686172286,1
2024-01-08,50.13999938964844,50.65999984741211,50.04999923706055,50.18999862670898,50.18999862670898,3390200.0,0.2797190645005344,1.256376854137383,1.0994013196051775,1.9524731406459956,2.371338245772141,50.29199981689453,51.45999946594238,49.66399993896484,46.72416655222575,45.48319995880127,50.47876470071482,50.77697524201898,49.61490331694331,47.74387542151995,45.989890994979326,50.76148239121224,49.911918210752575,0.8495641804596659,1.250653830672026,1.514242562917221,-1.514242562917221,-1.514242562917221,-1.514242562917221,1.514242562917221,1.514242562917221,-1.514242562917221,-1.514242562917221,1.514242562917221,0.6800003051757812,0.9430002212524412,50.65999984741211,48.23139781951904,48.42399787902831,48.6165979385376,0.0,1.0361630059839069,-0.2797190645005344,1.0,0.2797190645005344,1.0234218318970063,1.0,0.2797190645005344,0.8233634084580974,-1.0,-0.2797190645005344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797190645005344,1
2024-01-09,49.52000045776367,50.02000045776367,49.34000015258789,49.43000030517578,49.43000030517578,4799000.0,-1.514242562917221,0.7448852329296509,1.0924897273126912,1.9827383434881576,2.3695190286605365,50.00599975585938,51.13699951171875,49.75833333333333,46.78766657511393,45.573299980163576,50.12917656886847,50.532070708047485,49.60297409037767,47.79915820459063,46.05801197141886,50.55663899336048,49.876220588117256,0.6804184052432234,1.1366067455862656,-2.18490392411415,2.18490392411415,2.18490392411415,2.18490392411415,-2.18490392411415,-2.18490392411415,2.18490392411415,2.18490392411415,-2.18490392411415,1.7099990844726491,0.9640001296997064,50.02000045776367,48.58539936065674,48.77399940490723,48.96259944915772,1.0,1.0277072419035755,1.514242562917221,1.0,-1.514242562917221,1.018730663527896,1.0,-1.514242562917221,0.8367682721708203,-1.0,1.514242562917221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.514242562917221,1
2024-01-10,49.38000106811523,50.66999816894531,48.95999908447266,50.5099983215332,50.5099983215332,4301900.0,2.18490392411415,1.3715487281258525,1.3975190603967051,1.9382638877793656,2.3838751277642345,50.03999938964844,50.91199951171875,49.86833330790202,46.8678332010905,45.67549995422363,50.25611715309005,50.52805754686307,49.66149178271029,47.88803820842481,46.14617011696567,50.54946350538705,49.9231670868888,0.6262964184982494,1.0345446801686624,-0.1781828461267539,0.1781828461267539,0.1781828461267539,0.1781828461267539,-0.1781828461267539,-0.1781828461267539,0.1781828461267539,0.1781828461267539,-0.1781828461267539,1.4300003051757812,0.9855001449584954,50.66999816894531,47.89920017242432,48.09200019836426,48.2848002243042,1.0,1.0209284356341493,-2.18490392411415,1.0,2.18490392411415,1.01744945093362,1.0,2.18490392411415,0.8130727424457025,-1.0,-2.18490392411415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18490392411415,1
2024-01-11,50.47000122070312,51.11000061035156,49.68000030517578,50.59999847412109,50.59999847412109,3102900.0,0.1781828461267539,1.3131831977463946,1.4074124687670804,1.932698791757531,2.3838497523791333,50.15599899291992,50.72999954223633,49.99199994405111,46.94866650899251,45.784099922180175,50.3707442601004,50.54113771545543,49.722040601511,47.97695493844763,46.23436473789944,50.55723811596152,49.973302745202304,0.5839353707592139,0.9444228182867728,1.1660082418572282,-1.1660082418572282,-1.1660082418572282,-1.1660082418572282,1.1660082418572282,1.1660082418572282,-1.1660082418572282,-1.1660082418572282,1.1660082418572282,1.1800003051757812,0.9885002136230464,51.11000061035156,48.50189785003662,48.69899787902832,48.89609790802002,0.0,1.0147623539568562,-0.1781828461267539,1.0,0.1781828461267539,1.0164735216824456,1.0,0.1781828461267539,0.8107468978817377,-1.0,-0.1781828461267539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1781828461267539,1
2024-01-12,50.88999938964844,51.18000030517578,50.0,50.0099983215332,50.0099983215332,2819300.0,-1.1660082418572282,1.460823601053635,1.346274253397566,1.9183304379973505,2.3406540378659995,50.14799880981445,50.43799934387207,50.08166656494141,47.04649982452393,45.88019989013672,50.25049561391134,50.44456691656048,49.74061851893178,48.0436120985488,46.30912975935754,50.47304737835716,49.97602093604164,0.4970264423155228,0.8549435430925229,-4.43911476747089,4.43911476747089,4.43911476747089,4.43911476747089,-4.43911476747089,-4.43911476747089,4.43911476747089,4.43911476747089,-4.43911476747089,1.6300010681152344,1.0035003662109374,51.18000030517578,48.93530014038086,49.133000183105466,49.33070022583008,1.0,1.0071150343702842,1.1660082418572282,1.0,-1.1660082418572282,1.014152385285695,1.0,-1.1660082418572282,0.8195702598348596,-1.0,1.1660082418572282,0.0,1.0,0.0,0.001751552,0.001751552,0.005887612,0.005887612,-1.1660082418572282,1
2024-01-16,51.61000061035156,52.52000045776367,50.88999938964844,52.22999954223633,52.22999954223633,8062800.0,4.43911476747089,2.4882576430867207,2.055020840293195,2.143312002490172,2.402191435528968,50.555998992919925,50.42399940490723,50.21233317057292,47.17616647084554,45.99829990386963,50.91033025668634,50.76919103031972,49.90122374624176,48.18087070325986,46.42637470555316,50.74334771126164,50.14298231427828,0.6003653969833636,0.804027913870691,0.172315055287548,0.172315055287548,0.172315055287548,0.172315055287548,-0.172315055287548,0.172315055287548,0.172315055287548,0.172315055287548,-0.172315055287548,1.020000457763672,1.0015003204345705,52.52000045776367,48.97229949951172,49.17299957275391,49.37369964599609,1.0,1.0042154232032052,-4.43911476747089,1.0,4.43911476747089,1.0173937073866515,1.0,4.43911476747089,0.8922319723524489,-1.0,-4.43911476747089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43911476747089,1
2024-01-17,52.16999816894531,52.77000045776367,51.75,52.31999969482422,52.31999969482422,5405300.0,0.172315055287548,2.1881960634471023,1.7900705186822063,2.129156917440299,2.3598530400918007,51.13399887084961,50.569999313354494,50.34333318074544,47.33049977620443,46.11099990844727,51.38022006939897,51.0511562420478,50.05727380744062,48.31657985052427,46.54308015088525,50.98590955488665,50.30424286098538,0.6816666939012705,0.7795556698768069,2.350916569974687,2.350916569974687,2.350916569974687,2.350916569974687,-2.350916569974687,2.350916569974687,2.350916569974687,2.350916569974687,-2.350916569974687,0.8500022888183594,1.0130002975463868,52.77000045776367,50.316699752807615,50.51699981689453,50.71729988098144,1.0,1.0045024061437344,-0.172315055287548,1.0,0.172315055287548,1.0198549053716035,1.0,0.172315055287548,0.9022413181108399,-1.0,-0.172315055287548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172315055287548,1
